iter	Passed	Remaining
0	986	985496
1	1845	921021
2	2660	884326
3	3545	882927
4	4351	865865
5	5276	874075
6	6293	892845
7	7301	905376
8	8436	928927
9	9509	941463
10	10495	943651
11	11510	947665
12	12480	947581
13	13625	959631
14	14750	968617
15	15836	973919
16	16849	974316
17	17811	971722
18	18823	971869
19	19871	973702
20	20672	963745
21	21578	959241
22	22562	958434
23	24163	982666
24	25688	1001863
25	27065	1013907
26	28393	1023210
27	29704	1031161
28	30963	1036743
29	32374	1046771
30	34103	1066024
31	35738	1081092
32	36590	1072202
33	37223	1057592
34	37974	1047003
35	38760	1037928
36	39545	1029242
37	40399	1022754
38	41400	1020154
39	42327	1015860
40	43154	1009382
41	44163	1007350
42	45212	1006250
43	46002	999500
44	46788	992957
45	47705	989366
46	48707	987631
47	49704	985811
48	50583	981730
49	51779	983802
50	52625	979247
51	53587	976937
52	54443	972786
53	55598	974011
54	56531	971315
55	57437	968237
56	58375	965752
57	59244	962206
58	60236	960715
59	61405	962025
60	62309	959157
61	63472	960278
62	64317	956601
63	65233	954042
64	66034	949878
65	67047	948817
66	67975	946589
67	68949	945011
68	69932	943585
69	70763	940148
70	71828	939845
71	72727	937377
72	73676	935589
73	74579	933257
74	75314	928873
75	76594	931230
76	77659	930910
77	78675	929981
78	79573	927681
79	80593	926826
80	81525	924957
81	82321	921599
82	83169	918868
83	84062	916679
84	84750	912317
85	85273	906281
86	86071	903254
87	86973	901365
88	87869	899428
89	88888	898760
90	89592	894944
91	90578	893971
92	91587	893223
93	92597	892485
94	93233	888170
95	94070	885832
96	95113	885438
97	95856	882275
98	96834	881291
99	97984	881856
100	99089	881995
101	100249	882588
102	101437	883392
103	102534	883377
104	103735	884219
105	105101	886422
106	106573	889436
107	108459	895797
108	110601	904092
109	113090	915004
110	115810	927531
111	117487	931507
112	120259	943986
113	122068	948707
114	124196	955772
115	125561	956862
116	126866	957465
117	128248	958600
118	129665	959963
119	131215	962250
120	132449	962173
121	133773	962731
122	135028	962766
123	136454	963981
124	137907	965355
125	139437	967211
126	141335	971543
127	143116	974981
128	144280	974175
129	145029	970583
130	145900	967847
131	146993	966593
132	148443	967673
133	149679	967332
134	151044	967803
135	152173	966752
136	153090	964361
137	154228	963372
138	155242	961609
139	156209	959573
140	157063	956861
141	158019	954792
142	159016	952985
143	160027	951276
144	160909	948811
145	161939	947237
146	163019	945955
147	163959	943876
148	164967	942199
149	165858	939863
150	167149	939803
151	168578	940492
152	169373	937643
153	170176	934864
154	171297	933846
155	172489	933212
156	173449	931326
157	174447	929650
158	175278	927101
159	176091	924479
160	176947	922107
161	178202	921814
162	179586	922173
163	180835	921822
164	182770	924928
165	183819	923526
166	184751	921545
167	185698	919649
168	186589	917492
169	187704	916437
170	188780	915201
171	189751	913457
172	190848	912323
173	192009	911495
174	193082	910247
175	194154	908994
176	195351	908328
177	196214	906115
178	197224	904590
179	197963	901831
180	199281	901723
181	200209	899841
182	201114	897873
183	201867	895237
184	202751	893200
185	203591	890986
186	204653	889748
187	205627	888137
188	206647	886727
189	207658	885280
190	208632	883682
191	209427	881342
192	210401	879762
193	211597	879109
194	212509	877281
195	213421	875465
196	214319	873598
197	215148	871459
198	215918	869097
199	216760	867041
200	218068	866848
201	219056	865380
202	219877	863262
203	220695	861147
204	221620	859456
205	222438	857361
206	222971	854184
207	223833	852288
208	224697	850411
209	225570	848576
210	226451	846779
211	227272	844768
212	228058	842638
213	228698	839985
214	229733	838795
215	231346	839702
216	232633	839409
217	233506	837625
218	234304	835578
219	235385	834550
220	236529	833737
221	237279	831546
222	238227	830057
223	239004	827978
224	240236	827480
225	240980	825304
226	242025	824166
227	242967	822679
228	243640	820291
229	244471	818446
230	245378	816865
231	246231	815110
232	247147	813570
233	248082	812099
234	248945	810397
235	249705	808369
236	250462	806341
237	251295	804569
238	252147	802863
239	252910	800883
240	253656	798860
241	254579	797402
242	255341	795445
243	256187	793761
244	256962	791862
245	257928	790560
246	258910	789309
247	259687	787439
248	260541	785809
249	261378	784135
250	262366	782919
251	263153	781105
252	264208	780093
253	265389	779450
254	266283	777965
255	267160	776434
256	267969	774712
257	268915	773392
258	269737	771720
259	270475	769814
260	271573	768937
261	272621	767919
262	273386	766105
263	274241	764550
264	275221	763350
265	276076	761804
266	277059	760616
267	277823	758830
268	278929	757982
269	279839	756602
270	280741	755205
271	281628	753769
272	282594	752549
273	283454	751050
274	284381	749732
275	285116	747913
276	285970	746414
277	286734	744683
278	287583	743182
279	288434	741689
280	289164	739890
281	290261	739035
282	291209	737799
283	292219	736723
284	293012	735100
285	293936	733812
286	294736	732218
287	295493	730526
288	296342	729064
289	297650	728731
290	298510	727299
291	299251	725581
292	300173	724309
293	300963	722722
294	301680	720964
295	302564	719611
296	303413	718180
297	304272	716776
298	305132	715376
299	305994	713987
300	306736	712322
301	307565	710863
302	308368	709350
303	309247	708012
304	310050	706508
305	310869	705043
306	311671	703544
307	312581	702294
308	313634	701363
309	314352	699686
310	315197	698298
311	316176	697209
312	317019	695822
313	317920	694564
314	318714	693077
315	319525	691631
316	320269	690045
317	321130	688714
318	321855	687096
319	322581	685485
320	323479	684244
321	324373	682998
322	325199	681610
323	326062	680303
324	326775	678686
325	327550	677205
326	328404	675891
327	329164	674385
328	329930	672898
329	330767	671558
330	331519	670049
331	332293	668589
332	333068	667137
333	333894	665789
334	334663	664332
335	335542	663095
336	336327	661677
337	337120	660278
338	337995	659042
339	338956	657975
340	339962	656994
341	340791	655674
342	341652	654419
343	342606	653342
344	343523	652196
345	344519	651201
346	345464	650109
347	346500	649190
348	347547	648290
349	348298	646840
350	349194	645661
351	350045	644401
352	350778	642928
353	351520	641475
354	352261	640025
355	353107	638767
356	353955	637517
357	354762	636194
358	355664	635044
359	356709	634150
360	357560	632912
361	358352	631571
362	359248	630416
363	360088	629166
364	360872	627819
365	362122	627282
366	362830	625809
367	363725	624659
368	364532	623359
369	365469	622285
370	366326	621076
371	367223	619935
372	367998	618592
373	368840	617363
374	369643	616071
375	370378	614670
376	371200	613416
377	372040	612193
378	372881	610975
379	373803	609890
380	374642	608670
